month_year,type_of_offence,count_category,count
2010-03-01,Restraints,Fines,1253700.0
2010-03-01,Restraints,Offences,8359.0
2010-04-01,Alcohol specific offences,Fines,0.0
2010-04-01,Alcohol specific offences,Offences,2506.0
2010-04-01,Camera-issued speed offences,Fines,4588350.0
2010-04-01,Camera-issued speed offences,Offences,51868.0
2010-04-01,Drug specific offences,Offences,40.0
2010-04-01,Mobile phone offences,Fines,52710.0
2010-04-01,Mobile phone offences,Offences,659.0
2010-04-01,Officer-issued red light,Fines,148950.0
2010-04-01,Officer-issued red light,Offences,993.0
2010-04-01,Restraints,Fines,866550.0
2010-04-01,Restraints,Offences,5778.0
2010-05-01,Alcohol specific offences,Fines,0.0
2010-05-01,Alcohol specific offences,Offences,2883.0
2010-05-01,Camera-issued speed offences,Fines,4807960.0
2010-05-01,Camera-issued speed offences,Offences,59073.0
2010-05-01,Drug specific offences,Offences,30.0
2010-05-01,Mobile phone offences,Fines,49840.0
2010-05-01,Mobile phone offences,Offences,623.0
2010-05-01,Officer-issued red light,Fines,152100.0
2010-05-01,Officer-issued red light,Offences,1015.0
2010-05-01,Restraints,Fines,738680.0
2010-05-01,Restraints,Offences,4925.0
2010-06-01,Alcohol specific offences,Fines,0.0
2010-06-01,Alcohol specific offences,Offences,2485.0
2010-06-01,Camera-issued speed offences,Fines,3822230.0
2010-06-01,Camera-issued speed offences,Offences,52131.0
2010-06-01,Drug specific offences,Offences,29.0
2010-06-01,Mobile phone offences,Fines,51760.0
2010-06-01,Mobile phone offences,Offences,645.0
2010-06-01,Officer-issued red light,Fines,159750.0
2010-06-01,Officer-issued red light,Offences,1066.0
2010-06-01,Restraints,Fines,806850.0
2010-06-01,Restraints,Offences,5381.0
2010-07-01,Alcohol specific offences,Fines,0.0
2010-07-01,Alcohol specific offences,Offences,2721.0
2010-07-01,Camera-issued speed offences,Fines,4193700.0
2010-07-01,Camera-issued speed offences,Offences,49295.0
2010-07-01,Drug specific offences,Offences,22.0
2010-07-01,Mobile phone offences,Fines,55770.0
2010-07-01,Mobile phone offences,Offences,697.0
2010-07-01,Officer-issued red light,Fines,141750.0
2010-07-01,Officer-issued red light,Offences,945.0
